facility_id,facility_name,basin,city,state,zip_code,primary_naics_code,industry_type_subpart,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1008481,"Repsol Oil & Gas USA, LLC Appalachian basin (Eastern Overthrust area) - 160A",160A - Appalachian Basin (Eastern Overthrust Area),Warrendale,PA,15086,211130,W-ONSH,45510.85,82254.01,65665.334,80483.67,54030.788,62746.05,153165.252,65766.542,118737.476,145488.886
1009547,Revolution Operating Company Anadarko 360,360 - Anadarko Basin,Oklahoma City,OK,73134,211120,W-ONSH,204115.896,194512.91,317037.068,299607.46,252275.022,181623.424,152176.858,18862.792,82637.748,46721.678
1009624,SM Energy (Basin 220) South Texas,"220 - Gulf Coast Basin (LA, TX)",Denver,CO,80203,211130,W-ONSH,56853.536,83241.484,76211.32,65739.688,66768.884,131186.338,230926.978,224364.234,161318.57,182785.892
1009674,SM Energy (Basin 430) Permian Basin,430 - Permian Basin,Denver,CO,80203,211120,W-ONSH,420954.64,692440.002,522845.722,263076.812,109457.896,25139.57,83280.24,49983.846,23226.558,24163.576
1009720,"SN Operating, LLC 220 Gulf Coast Basin (LA, TX)","220 - Gulf Coast Basin (LA, TX)",Houston,TX,77002,211120,W-ONSH,123330.192,166611.584,184871.75,102845.15,149308.632,174775.41,171685.472,72636.776,42728.194,60340.506
1009584,Sabine Oil & Gas Corporation - 260 - East Texas Basin,260 - East Texas Basin,Houston,TX,77002,211120,W-ONSH,464727.604,486127.472,468829.318,409375.664,339353.304,515960.442,382387.418,242032.278,338016.242,265361.346
1009242,San Juan Basin,580 - San Juan Basin,Farmington,NM,87401,211120,W-ONSH,70511.778,177453.462,185573.628,91599.26,109285.37,158380.804,180400.59,185768.468,265258.008,256618.1
1007484,San Juan Basin (580),580 - San Juan Basin,Houston,TX,77002,211130,W-ONSH,2781956.482,2874637.832,2917479.186,2224914.022,2759590.94,2767357.106,3745699.078,6607125.292,5020111.126,6181128.484
1008806,SandRidge 360 Anadarko Basin,360 - Anadarko Basin,Oklahoma City,OK,73102,211120,W-ONSH,257659.244,336001.482,475572.094,833257.036,966616.86,1354807.154,1156476.182,925584.832,2185884.336,247173.94
1008807,SandRidge 375 Sedgwick Basin,375 - Sedgwick Basin,Oklahoma City,OK,73102,211120,W-ONSH,25699.95,27312.848,37248.474,82181.08,55988.292,110699.776,112480.226,54225.962,829747.274,3956.8
1009301,Seneca East Facilities,160A - Appalachian Basin (Eastern Overthrust Area),Brookville,PA,15825,211130,W-ONSH,157080.174,168939.92,173036.698,123404.214,131859.928,198108.9,223914.694,170476.734,123277.186,121854.038
