facility_id,facility_name,city,state,zip_code,primary_naics_code,industry_type_subpart,industry_type_sector,total_emissions_2020,total_emissions_2019,total_emissions_2018,total_emissions_2017,total_emissions_2016,total_emissions_2015,total_emissions_2014,total_emissions_2013,total_emissions_2012,total_emissions_2011
1010825,"Louisiana Sugar Refining, LLC",Gramercy,LA,70052,311314,C,Other,111098.88,113621.12,108355.54,108622.04,95299.04,108688.438,110900.232,105024.398,89055.86,140113.08
1000146,Lower Mount Bethel Energy,BANGOR,PA,18013,221112,D,Power Plants,834465.308,943982.752,1565221.948,1272335.584,1582436.036,1703081.14,1628496.716,1729209.94,1301023.628,1400547.56
1010111,Lowry Mine,Indiana,PA,15701,212112,FF,Other,97790.0,52025.0,44427.5,49725.0,61415.0,53572.5,64545.5,54572.5,43692.5,47807.0
1005332,Lucedale (SESH) Compressor Station,Lucedale,MS,39452,486210,"C,W-NGTC",Petroleum and Natural Gas Systems,36142.27,47793.676,46799.828,44511.236,42400.644,46919.334,41936.296,40004.254,42081.098,40582.356
1000795,Luna Energy Facility,DEMING,NM,88030,221112,"C,D",Power Plants,1241706.048,1058209.528,1126887.324,1045835.424,1005815.924,723276.62,854120.084,824385.344,752450.312,738507.464
1003617,Luz Solar Partners III - VII,Boron,CA,93516,221114,C,Power Plants,9.6,1719.744,17021.184,26607.8,35997.164,32960.48,22730.116,24247.66,74603.42,80683.648
1004218,Lycoming County Resource Management Services,MONTGOMERY,PA,17752,562212,"C,HH",Waste,68027.244,72506.5,59249.75,52809.148,48029.794,58953.846,78384.594,221429.394,159941.228,107333.342
1003029,MADISON COUNTY LANDFILL,CANASTOTA,NY,13032,562212,"C,HH",Waste,10578.7,9628.7,11023.2,15010.65,13655.05,19384.3,22262.6,21412.35,19045.35,21493.35
1002115,MAGNESITA REFRACTORIES/YORK,YORK,PA,17408,327120,"C,S",Minerals,320145.732,341389.262,391827.466,412164.92,365417.508,376150.344,393937.552,414547.444,406989.98,407517.406
1007756,MAHONING LANDFILL,NEW SPRINGFIELD,OH,44443,562212,"C,HH",Waste,47376.858,55878.116,59871.75,43566.186,45094.234,63028.462,45309.458,52751.246,68887.13965,78075.0
1007633,MALLARD LAKE LANDFILL,HANOVER PARK,IL,60133,562212,"C,HH",Waste,18237.6,19964.8,21620.5,13546.6,13542.05,14601.7,16285.45,16901.6,24310.8,58115.848
1002038,"MALLARD RIDGE LANDFILL, INC",DELEVAN,WI,53115,562212,"C,HH",Waste,58051.15,74878.2,72141.5,81108.65,54394.65,67067.0,72689.948,82269.48,66795.558,87897.95
1005077,MALLINCKRODT,ST. LOUIS,MO,63147,325412,C,Chemicals,27411.296,29057.84,31996.78,31735.078,32147.58,32645.926,42156.392,42124.99,41235.39,42330.79
1002643,MALOY SOLID WASTE LANDFILL,CAMPBELL,TX,75422,562212,"C,HH",Waste,123401.85,119854.25,115948.55,113572.25,111375.5,131671.05,130215.0,128962.5,127373.935,131485.936075
